name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
BitGenie AMM,['Merlin'],Dexs,1034,10622.0,34291.0,,-25.13,204.12
Holdstation Swap,"['ZKsync Era', 'Berachain']",Dexs,1032,13867.0,50186.0,220.5,67.26,4.45
JIBSWAP,['JBC'],Dexs,1027,3590.0,5268.0,0.0,5035.0,2345.24
Blum,['TON'],Launchpad,991,20100.0,77946.0,-49.77,-53.69,-18.7
HeliSwap,['Hedera'],Dexs,959,9262.0,32222.0,66.2,14.71,-73.67
ZKBase,['ZKsync Era'],Dexs,878,4502.0,13941.0,-8.25,-24.18,152.3
VaporDex V2,['Avalanche'],Dexs,868,6140.0,15949.0,-13.2,9.87,352.08
Sandglass,"['Solana', 'Eclipse']",Yield,787,5170.0,111098.0,0.0,-91.22,-95.2
Nearpad,['Aurora'],Dexs,783,4424.0,13560.0,-17.92,-23.91,214.46
FVM Exchange,['Fantom'],Dexs,769,13324.0,53302.0,0.0,-80.04,-13.01
Arbitrum Exchange V2,['Arbitrum'],Dexs,760,5487.0,22484.0,-2.31,-40.44,100.0
Moai V3,['XRPL EVM'],Dexs,757,8578.0,41069.0,-74.48,-81.83,
PegaSys V3,['Rollux'],Dexs,746,7686.0,43293.0,-3.99,-37.31,-87.48
SparkDEX V3,['Flare'],Dexs,728,12290.0,26119.0,-69.87,-44.68,5.05
PhotonSwap Finance,['Cronos'],Dexs,674,6987.0,18649.0,-15.86,-40.04,491.23
LuaSwap,['Ethereum'],Dexs,646,2980.0,40613.0,58.33,3.69,
Glyph V2,['CORE'],Dexs,640,6947.0,23001.0,-59.54,-68.5,-16.99
VanillaSwap V2,['DeFiChain EVM'],Dexs,626,2492.0,17094.0,,734.67,-31.13
IcecreamSwap V2,"['Bitgert', 'CORE']",Dexs,619,5708.0,20670.0,-33.08,-16.24,2.31
TTswap,['ThunderCore'],Dexs,601,1943.0,15946.0,105.82,40.09,-13.53
Razor DEX,['Movement'],Dexs,592,1087.0,1761.0,3188.89,1591.43,106.27
firefly,['Manta'],Dexs,584,4727.0,13834.0,-25.7,-29.13,7.16
